date,home_team,away_team,home_team_full,away_team_full,home_odds_dec,draw_odds_dec,away_odds_dec,home_implied,away_implied
2025-11-10,NYR,NSH,NY Rangers,Nashville Predators,1.8,4.2,3.2,50.2,28.3
2025-11-10,EDM,CBJ,Edmonton Oilers,Columbus Blue Jackets,1.8,4.4,3.1,50.3,29.2
2025-11-10,VGK,FLA,Vegas Golden Knights,Florida Panthers,2.05,4.0,2.75,44.3,33.0
2025-11-11,SEA,CBJ,Seattle Kraken,Columbus Blue Jackets,2.2,4.0,2.5,41.2,36.2
2025-11-11,VAN,WPG,Vancouver Canucks,Winnipeg Jets,2.5,4.0,2.2,36.2,41.2
2025-11-11,COL,ANA,Colorado Avalanche,Anaheim Ducks,1.6,4.6,3.8,56.5,23.8
2025-11-11,MIN,SJS,Minnesota Wild,San Jose Sharks,1.67,4.5,3.5,54.1,25.8
2025-11-11,OTT,DAL,Ottawa Senators,Dallas Stars,2.2,4.0,2.5,41.2,36.2
2025-11-11,BOS,TOR,Boston Bruins,Toronto Maple Leafs,2.62,4.0,2.05,34.1,43.6
2025-11-11,CAR,WSH,Carolina Hurricanes,Washington Capitals,1.85,4.2,3.0,48.6,30.0
2025-11-11,MTL,LAK,Montreal Canadiens,Los Angeles Kings,2.4,4.0,2.25,37.5,40.0
2025-11-11,STL,CGY,St. Louis Blues,Calgary Flames,2.0,4.0,2.8,45.2,32.3
2025-11-12,CHI,NJD,Chicago Blackhawks,New Jersey Devils,2.88,4.0,1.95,31.3,46.2
2025-11-12,UTA,BUF,Utah Mammoth,Buffalo Sabres,1.67,4.4,3.5,53.9,25.7
2025-11-12,PHI,EDM,Philadelphia Flyers,Edmonton Oilers,2.5,4.0,2.2,36.2,41.2
2025-11-12,TBL,NYR,Tampa Bay Lightning,NY Rangers,2.0,4.0,2.8,45.2,32.3
2025-11-13,SEA,WPG,Seattle Kraken,Winnipeg Jets,2.8,4.0,2.05,32.6,44.6
2025-11-13,CGY,SJS,Calgary Flames,San Jose Sharks,1.85,4.2,3.0,48.6,30.0
2025-11-13,VGK,NYI,Vegas Golden Knights,NY Islanders,1.75,4.4,3.25,51.6,27.8
2025-11-13,NSH,PIT,Nashville Predators,Pittsburgh Penguins,2.5,4.0,2.2,36.2,41.2
2025-11-13,COL,BUF,Colorado Avalanche,Buffalo Sabres,1.4,5.0,5.0,64.1,17.9
2025-11-13,TOR,LAK,Toronto Maple Leafs,Los Angeles Kings,2.6,4.0,2.1,34.6,42.9
2025-11-13,OTT,BOS,Ottawa Senators,Boston Bruins,1.85,4.2,2.9,48.1,30.7
2025-11-13,MTL,DAL,Montreal Canadiens,Dallas Stars,2.25,4.0,2.45,40.3,37.0
2025-11-13,DET,ANA,Detroit Red Wings,Anaheim Ducks,2.0,4.2,2.75,45.4,33.0
2025-11-13,FLA,WSH,Florida Panthers,Washington Capitals,2.2,4.0,2.5,41.2,36.2
2025-11-13,CBJ,EDM,Columbus Blue Jackets,Edmonton Oilers,2.15,4.2,2.5,42.2,36.3
2025-11-14,CAR,VAN,Carolina Hurricanes,Vancouver Canucks,1.55,4.2,4.2,57.5,21.2
